id,ACTION
1,0.926930
2,0.979429
3,0.996673
4,0.995793
5,0.999295
6,0.997136
7,0.959615
8,0.999902
9,0.925424
10,0.972725
11,0.974701
12,0.978139
13,0.992159
14,0.802861
15,0.947065
16,0.959342
17,0.614348
18,0.813983
19,0.997898
20,0.996345
21,0.999197
22,0.993538
23,0.976574
24,0.980611
25,0.995024
26,0.943273
27,0.993310
28,0.985761
29,0.983188
30,0.916946
31,0.993178
32,0.983506
33,0.992667
34,0.995113
35,0.992069
36,0.986734
37,0.991894
38,0.999770
39,0.991010
40,0.965900
41,0.951398
42,0.992366
43,0.990581
44,0.994845
45,0.995444
46,0.987444
47,0.999097
48,0.984444
49,0.999942
50,0.998308
51,0.987774
52,0.994569
53,0.987178
54,0.997811
55,0.980488
56,0.993127
57,0.988902
58,0.999316
59,0.993826
60,0.991423
61,0.996159
62,0.998207
63,0.984943
64,0.997780
65,0.998668
66,0.991484
67,0.990541
68,0.999017
69,0.990327
70,0.727751
71,0.985266
72,0.988880
73,0.996604
74,0.998303
75,0.989831
76,0.998843
77,0.998053
78,0.967122
79,0.696240
80,0.998740
81,0.999575
82,0.996242
83,0.966900
84,0.996385
85,0.990465
86,0.959786
87,0.980208
88,0.998138
89,0.995278
90,0.858369
91,0.991991
92,0.793482
93,0.997594
94,0.987372
95,0.991417
96,0.998511
97,0.464002
98,0.998277
99,0.994026
100,0.997770
101,0.978626
102,0.347000
103,0.996280
104,0.989346
105,0.473301
106,0.996323
107,0.999184
108,0.977513
109,0.990697
110,0.983349
111,0.843616
112,0.978898
113,0.984219
114,0.999097
115,0.978431
116,0.973340
117,0.990181
118,0.955595
119,0.999268
120,0.988514
121,0.952278
122,0.990656
123,0.897557
124,0.997685
125,0.990718
126,0.839524
127,0.794841
128,0.954321
129,0.935202
130,0.995153
131,0.997495
132,0.998084
133,0.992280
134,0.909600
135,0.998915
136,0.965135
137,0.997346
138,0.936216
139,0.959885
140,0.998988
141,0.998418
142,0.971461
143,0.995214
144,0.995205
145,0.999579
146,0.704495
147,0.780912
148,0.820582
149,0.999206
150,0.987496
151,0.998334
152,0.856512
153,0.994964
154,0.960163
155,0.976129
156,0.968018
157,0.992725
158,0.992466
159,0.976612
160,0.971747
161,0.955877
162,0.996851
163,0.998571
164,0.977980
165,0.990792
166,0.999667
167,0.975641
168,0.992100
169,0.989227
170,0.996301
171,0.997585
172,0.993258
173,0.963476
174,0.995362
175,0.989987
176,0.999358
177,0.960279
178,0.995505
179,0.999494
180,0.925757
181,0.676852
182,0.987695
183,0.943780
184,0.918177
185,0.991143
186,0.973932
187,0.997941
188,0.987429
189,0.612160
190,0.992577
191,0.999574
192,0.996436
193,0.997733
194,0.995485
195,0.968963
196,0.997501
197,0.991615
198,0.976940
199,0.993892
200,0.882879
201,0.996194
202,0.988813
203,0.957637
204,0.993525
205,0.999002
206,0.989426
207,0.995357
208,0.987423
209,0.664412
210,0.770553
211,0.957173
212,0.991920
213,0.998394
214,0.982569
215,0.992071
216,0.911196
217,0.952660
218,0.995781
219,0.996099
220,0.977512
221,0.441248
222,0.999416
223,0.999485
224,0.992546
225,0.959345
226,0.786150
227,0.972746
228,0.990667
229,0.998775
230,0.995468
231,0.983403
232,0.958800
233,0.967446
234,0.117844
235,0.907640
236,0.965190
237,0.969637
238,0.984326
239,0.913222
240,0.998470
241,0.983170
242,0.752634
243,0.481512
244,0.991951
245,0.986959
246,0.999285
247,0.983632
248,0.984309
249,0.988340
250,0.997718
251,0.996615
252,0.964036
253,0.998617
254,0.999140
255,0.999107
256,0.976879
257,0.985740
258,0.943081
259,0.989638
260,0.998723
261,0.993225
262,0.969362
263,0.996018
264,0.998323
265,0.998002
266,0.991429
267,0.981574
268,0.997591
269,0.985073
270,0.995618
271,0.995536
272,0.972984
273,0.995431
274,0.613138
275,0.998329
276,0.938973
277,0.997270
278,0.999085
279,0.986970
280,0.946107
281,0.999629
282,0.998999
283,0.957466
284,0.952245
285,0.997753
286,0.992093
287,0.999564
288,0.996800
289,0.994067
290,0.995455
291,0.651739
292,0.912244
293,0.992194
294,0.986558
295,0.993480
296,0.439188
297,0.691079
298,0.979879
299,0.883647
300,0.996901
301,0.832672
302,0.997343
303,0.564650
304,0.906014
305,0.994191
306,0.995201
307,0.981848
308,0.999554
309,0.938297
310,0.982888
311,0.998689
312,0.996716
313,0.995002
314,0.998827
315,0.999283
316,0.996232
317,0.963398
318,0.996711
319,0.740120
320,0.998820
321,0.996389
322,0.414407
323,0.999689
324,0.992361
325,0.964618
326,0.922446
327,0.995761
328,0.998906
329,0.997571
330,0.994803
331,0.995787
332,0.971151
333,0.993667
334,0.934192
335,0.993526
336,0.982430
337,0.988659
338,0.993748
339,0.990876
340,0.994543
341,0.998837
342,0.989617
343,0.981348
344,0.999494
345,0.999091
346,0.997356
347,0.989126
348,0.984346
349,0.998008
350,0.958405
351,0.974518
352,0.999689
353,0.985050
354,0.884712
355,0.983965
356,0.996942
357,0.994055
358,0.996113
359,0.973305
360,0.545878
361,0.960008
362,0.983880
363,0.975722
364,0.917297
365,0.999439
366,0.999425
367,0.993782
368,0.999006
369,0.992226
370,0.997594
371,0.986523
372,0.995148
373,0.797394
374,0.279865
375,0.955639
376,0.993166
377,0.688778
378,0.991693
379,0.997761
380,0.910853
381,0.859239
382,0.984937
383,0.999698
384,0.991815
385,0.991352
386,0.984448
387,0.848796
388,0.981751
389,0.992766
390,0.993764
391,0.913934
392,0.997619
393,0.948475
394,0.991607
395,0.977254
396,0.991781
397,0.999659
398,0.983970
399,0.996297
400,0.996049
401,0.996809
402,0.993374
403,0.983768
404,0.973848
405,0.998766
406,0.989777
407,0.930099
408,0.994949
409,0.970015
410,0.997960
411,0.997914
412,0.961065
413,0.863591
414,0.996652
415,0.988803
416,0.938031
417,0.989504
418,0.993730
419,0.993965
420,0.992650
421,0.998946
422,0.990559
423,0.958753
424,0.844940
425,0.995560
426,0.973985
427,0.997216
428,0.992951
429,0.961309
430,0.999299
431,0.987605
432,0.990190
433,0.986928
434,0.983485
435,0.993491
436,0.999569
437,0.996216
438,0.179158
439,0.977133
440,0.456545
441,0.992808
442,0.999825
443,0.996391
444,0.995283
445,0.956571
446,0.997959
447,0.891536
448,0.996041
449,0.988593
450,0.983045
451,0.929574
452,0.990561
453,0.997989
454,0.953587
455,0.992986
456,0.993233
457,0.998691
458,0.997814
459,0.996905
460,0.723851
461,0.929911
462,0.998952
463,0.993981
464,0.993749
465,0.983347
466,0.997924
467,0.376756
468,0.982084
469,0.991658
470,0.992374
471,0.993952
472,0.994364
473,0.998263
474,0.995362
475,0.970862
476,0.992305
477,0.996783
478,0.993127
479,0.996862
480,0.998082
481,0.998793
482,0.982837
483,0.999167
484,0.979112
485,0.980162
486,0.928999
487,0.983943
488,0.993735
489,0.994519
490,0.981867
491,0.995041
492,0.987285
493,0.977455
494,0.993887
495,0.992801
496,0.993251
497,0.998242
498,0.998384
499,0.998537
500,0.977636
501,0.986191
502,0.943581
503,0.980943
504,0.985303
505,0.980347
506,0.998268
507,0.996825
508,0.976726
509,0.986074
510,0.411044
511,0.974121
512,0.988624
513,0.997363
514,0.722297
515,0.990424
516,0.990528
517,0.998878
518,0.929160
519,0.964594
520,0.948132
521,0.998283
522,0.996028
523,0.993619
524,0.256780
525,0.534816
526,0.465611
527,0.995066
528,0.991648
529,0.979465
530,0.998950
531,0.931339
532,0.984503
533,0.992931
534,0.974808
535,0.991570
536,0.987837
537,0.999444
538,0.988858
539,0.987871
540,0.945968
541,0.997009
542,0.977609
543,0.922851
544,0.968506
545,0.988429
546,0.994065
547,0.889331
548,0.706619
549,0.915823
550,0.884144
551,0.970364
552,0.951663
553,0.995914
554,0.918811
555,0.996873
556,0.987158
557,0.989489
558,0.968728
559,0.978034
560,0.981902
561,0.996481
562,0.992614
563,0.995979
564,0.752517
565,0.999461
566,0.972740
567,0.958645
568,0.867784
569,0.990782
570,0.981509
571,0.414736
572,0.994871
573,0.956276
574,0.428385
575,0.999443
576,0.994927
577,0.991676
578,0.993235
579,0.834644
580,0.978987
581,0.990582
582,0.990324
583,0.997544
584,0.896709
585,0.995430
586,0.989727
587,0.935151
588,0.992712
589,0.996935
590,0.939666
591,0.979481
592,0.999184
593,0.966439
594,0.988409
595,0.998458
596,0.997872
597,0.994480
598,0.871742
599,0.974775
600,0.973031
601,0.989196
602,0.969095
603,0.999759
604,0.994840
605,0.979698
606,0.995977
607,0.991368
608,0.997044
609,0.979936
610,0.822230
611,0.991872
612,0.987788
613,0.995562
614,0.752710
615,0.999341
616,0.537858
617,0.951607
618,0.996296
619,0.987642
620,0.998751
621,0.997699
622,0.969098
623,0.987829
624,0.920301
625,0.905661
626,0.995321
627,0.993775
628,0.954349
629,0.996305
630,0.998003
631,0.997248
632,0.968970
633,0.998041
634,0.998013
635,0.940782
636,0.994065
637,0.979784
638,0.992060
639,0.968323
640,0.987923
641,0.997914
642,0.973475
643,0.980013
644,0.995735
645,0.998502
646,0.761375
647,0.996821
648,0.954919
649,0.997882
650,0.892240
651,0.993005
652,0.998200
653,0.509937
654,0.980579
655,0.940326
656,0.995428
657,0.990536
658,0.995730
659,0.995851
660,0.966576
661,0.991592
662,0.995425
663,0.995491
664,0.994502
665,0.948871
666,0.618682
667,0.962265
668,0.979292
669,0.960480
670,0.491037
671,0.980349
672,0.979361
673,0.694292
674,0.978358
675,0.972342
676,0.992557
677,0.966860
678,0.997420
679,0.996554
680,0.990221
681,0.534146
682,0.982093
683,0.998065
684,0.991519
685,0.963173
686,0.976638
687,0.991058
688,0.996327
689,0.996924
690,0.998537
691,0.999377
692,0.997852
693,0.936226
694,0.996781
695,0.984417
696,0.718194
697,0.999292
698,0.996515
699,0.997142
700,0.990627
701,0.980126
702,0.995251
703,0.973601
704,0.967321
705,0.907790
706,0.820211
707,0.921331
708,0.998157
709,0.980628
710,0.993924
711,0.900580
712,0.944193
713,0.992851
714,0.998676
715,0.988138
716,0.865839
717,0.994111
718,0.960113
719,0.993689
720,0.993837
721,0.978931
722,0.998154
723,0.985560
724,0.984528
725,0.987373
726,0.963131
727,0.997784
728,0.999128
729,0.910426
730,0.953521
731,0.961205
732,0.999736
733,0.999710
734,0.999977
735,0.989329
736,0.782487
737,0.993565
738,0.996322
739,0.981775
740,0.997607
741,0.992986
742,0.995814
743,0.992500
744,0.998652
745,0.995271
746,0.993988
747,0.986401
748,0.996925
749,0.991404
750,0.999939
751,0.998502
752,0.988128
753,0.969800
754,0.980488
755,0.991985
756,0.717123
757,0.999343
758,0.987020
759,0.940761
760,0.952736
761,0.959532
762,0.962134
763,0.959831
764,0.966546
765,0.993673
766,0.982993
767,0.990801
768,0.995309
769,0.984445
770,0.985832
771,0.998964
772,0.991858
773,0.997946
774,0.994797
775,0.977809
776,0.857716
777,0.966781
778,0.990752
779,0.996025
780,0.515450
781,0.821857
782,0.987418
783,0.997705
784,0.979723
785,0.701808
786,0.975439
787,0.996206
788,0.974639
789,0.982467
790,0.944197
791,0.988563
792,0.994342
793,0.926928
794,0.984861
795,0.997114
796,0.947086
797,0.998724
798,0.997954
799,0.984319
800,0.999435
801,0.997578
802,0.990495
803,0.859391
804,0.996184
805,0.987589
806,0.997774
807,0.961803
808,0.926690
809,0.997862
810,0.995985
811,0.990513
812,0.414231
813,0.998368
814,0.977086
815,0.877965
816,0.999484
817,0.999321
818,0.997179
819,0.993308
820,0.960605
821,0.979503
822,0.997338
823,0.998376
824,0.995095
825,0.995315
826,0.951468
827,0.999251
828,0.992974
829,0.995291
830,0.993950
831,0.826826
832,0.999939
833,0.998182
834,0.995157
835,0.999553
836,0.960438
837,0.994341
838,0.998214
839,0.928765
840,0.976632
841,0.952924
842,0.998002
843,0.996564
844,0.997530
845,0.996641
846,0.992531
847,0.997774
848,0.997890
849,0.953801
850,0.543867
